draftRound,draftPick,playerName,position,age,height,weight,collegeAttended,rushingAttempts,rushingYards,avgYardsPerRush,rushingTouchdowns,receptions,receivingYards,avgYardsPerReception,receivingTouchdowns,passCompletions,passAttempts,passCompletionPercentage,passingYards,avgYardsPerPass,passingTouchdowns,passingInterceptions,fortyYardDash,verticalJump,benchPress,broadJump,threeCone,shuttle
3,66,Sean Brewer,TE,23,193.0,255,San Jose St.,,,,,56,580,10.4,5,,,,,,,,4.73,36.0,14,117,7.37,4.18
3,74,Steve Smith,WR,22,175.0,185,Utah,8,52,6.5,0,78,1603,20.6,12,,,,,,,,4.41,38.5,,121,7.44,4.25
3,77,Snoop Minnis,WR,24,185.0,172,Florida St.,2,6,3.0,0,115,2098,18.2,17,,,,,,,,4.57,37.5,,115,7.06,4.07
3,80,Kevan Barlow,RB,22,185.0,238,Pittsburgh,486,2324,4.8,20,36,508,14.1,4,,,,,,,,4.56,,,,,
3,82,Heath Evans,FB,22,183.0,245,Auburn,149,626,4.2,6,30,354,11.8,1,,,,,,,,4.56,34.5,30,111,7.30,4.24
3,85,Travis Minor,RB,22,178.0,205,Florida St.,664,3218,4.8,28,106,831,7.8,3,,,,,,,,4.44,32.0,9,115,,
3,90,Shad Meier,TE,23,193.0,255,Kansas St.,1,1,1.0,0,18,227,12.6,1,,,,,,,,4.85,34.0,20,113,7.14,4.15
4,100,Rudi Johnson,RB,21,178.0,220,Auburn,324,1567,4.8,13,9,70,7.8,0,,,,,,,,4.57,37.5,24,119,7.32,4.22
4,106,Chris Weinke,QB,29,193.0,232,Florida St.,,,,,,,,,650,1107,58.7,9839,8.9,79,32,5.20,,,,,
4,107,Monty Beisel,LB,23,190.0,254,Kansas St.,3,14,4.7,0,,,,,,,,,,,,4.83,34.5,25,110,7.32,4.28
4,108,George Layne,RB,22,180.0,250,TCU,98,480,4.9,8,13,230,17.7,2,,,,,,,,4.59,32.0,,115,7.08,4.19
4,109,Sage Rosenfels,QB,23,193.0,222,Iowa St.,,,,,,,,,306,587,52.1,4164,7.1,18,26,4.74,34.0,,107,7.07,4.29
4,115,Moran Norris,FB,23,185.0,250,Kansas,199,864,4.3,10,17,87,5.1,1,,,,,,,,4.63,31.0,37,114,7.56,4.50
4,119,Jabari Holloway,TE,22,188.0,260,Notre Dame,0,0,,1,41,692,16.9,6,,,,,,,,4.91,38.5,20,113,7.14,4.40
4,121,Correll Buckhalter,RB,22,183.0,222,Nebraska,413,2522,6.1,27,24,200,8.3,1,,,,,,,,4.53,40.0,11,123,7.08,4.06
4,124,Justin McCareins,WR,22,188.0,215,Northern Illinois,14,162,11.6,0,204,2991,14.7,29,,,,,,,,4.51,41.0,,129,7.06,3.99
4,125,Jesse Palmer,QB,22,188.0,225,Florida,,,,,,,,,254,479,53.0,3755,7.8,31,17,4.78,35.5,,112,7.13,4.29
4,129,Brandon Manumaleuna,TE,21,188.0,288,Arizona,1,0,0.0,0,40,544,13.6,3,,,,,,,,4.99,30.0,,106,7.49,4.26
4,131,Cedric James,WR,22,185.0,199,TCU,4,-6,-1.5,0,41,593,14.5,4,,,,,,,,4.49,43.0,,134,,
5,136,Vinny Sutherland,WR,23,173.0,188,Purdue,50,384,7.7,3,176,2370,13.5,25,,,,,,,,4.48,,,,,
5,141,Bill Baber,TE,22,190.0,255,Virginia,,,,,54,544,10.1,5,,,,,,,,4.76,33.0,22,106,7.12,4.19
5,147,Tony Stewart,TE,22,196.0,260,Penn St.,,,,,59,861,14.6,3,,,,,,,,4.96,35.5,,109,7.30,4.40
5,149,Mike McMahon,QB,22,188.0,215,Rutgers,,,,,,,,,482,974,49.5,6608,6.8,41,52,4.57,37.5,,124,7.12,4.12
6,169,Cedrick Wilson,WR,22,178.0,183,Tennessee,,,,,159,2137,13.4,24,,,,,,,,4.48,38.0,,123,,
6,174,Jameel Cook,FB,22,178.0,237,Illinois,116,526,4.5,0,64,506,7.9,6,,,,,,,,4.80,29.5,17,108,7.55,4.38
6,190,Kevin Kasper,WR,23,185.0,197,Iowa,2,-20,-10.0,0,157,1974,12.6,11,,,,,,,,4.42,43.5,,126,6.56,3.73
6,195,Dan O'Leary,TE,24,190.0,248,Notre Dame,,,,,32,383,12.0,4,,,,,,,,5.02,32.0,16,113,7.40,4.31
6,196,Jimmy Williams,DB,22,180.0,190,Vanderbilt,102,542,5.3,2,30,265,8.8,2,,,,,,,,4.58,36.0,,120,7.12,
6,198,David Martin,TE,22,193.0,260,Tennessee,,,,,46,543,11.8,5,,,,,,,,4.76,,,,,
7,203,Paul Zukauskas,G,22,196.0,320,Boston Col.,,,,,1,13,13.0,0,,,,,,,,5.30,,22,,,
7,212,Shaunard Harts,DB,23,183.0,207,Boise St.,90,406,4.5,3,31,449,14.5,3,,,,,,,,4.56,34.5,12,119,7.14,
7,214,Reggie Germany,WR,23,185.0,180,Ohio St.,,,,,80,1268,15.9,6,,,,,,,,4.39,,,,,
7,227,Mike Roberg,TE,23,193.0,263,Idaho,,,,,64,722,11.3,10,,,,,,,,4.75,34.5,16,117,7.28,4.40
7,228,Derek Combs,DB,22,183.0,185,Ohio St.,274,1231,4.5,9,11,95,8.6,0,,,,,,,,4.42,35.0,8,120,6.96,4.07
7,229,Ken-Yon Rambo,WR,22,185.0,195,Ohio St.,13,53,4.1,0,106,1849,17.4,9,,,,,,,,4.34,,,,,
7,236,Quentin McCord,WR,23,178.0,188,Kentucky,8,160,20.0,1,112,1743,15.6,15,,,,,,,,4.48,36.5,,112,7.17,4.18
7,245,Andre King,WR,27,180.0,195,Miami (FL),,,,,64,834,13.0,3,,,,,,,,4.61,,,,,
1,1,David Carr,QB,23,190.0,215,Fresno St.,,,,,,,,,565,901,62.7,7458,8.3,65,22,4.67,35.0,,108,7.05,4.28
1,3,Joey Harrington,QB,23,193.0,220,Oregon,,,,,,,,,512,928,55.2,6911,7.4,59,23,4.89,32.0,,112,7.00,4.21
1,13,Donte' Stallworth,WR,21,183.0,197,Tennessee,4,30,7.5,0,99,1747,17.6,13,,,,,,,,4.22,,,,,
1,14,Jeremy Shockey,TE,22,196.0,253,Miami (FL),,,,,61,815,13.4,10,,,,,,,,4.64,,,,,
1,16,William Green,RB,22,183.0,215,Boston Col.,501,2974,5.9,33,31,343,11.1,3,,,,,,,,4.60,42.0,27,121,,
1,18,T.J. Duckett,RB,21,183.0,254,Michigan St.,621,3379,5.4,29,22,151,6.9,1,,,,,,,,4.45,,,,,
1,19,Ashley Lelie,WR,22,190.0,200,Hawaii,,,,,194,3341,17.2,32,,,,,,,,4.49,,,,,
1,20,Javon Walker,WR,23,190.0,220,Florida St.,,,,,65,1257,19.3,10,,,,,,,,4.38,39.5,,128,6.86,4.05
