draftRound,draftPick,playerName,position,age,height,weight,collegeAttended,rushingAttempts,rushingYards,avgYardsPerRush,rushingTouchdowns,receptions,receivingYards,avgYardsPerReception,receivingTouchdowns,passCompletions,passAttempts,passCompletionPercentage,passingYards,avgYardsPerPass,passingTouchdowns,passingInterceptions,fortyYardDash,verticalJump,benchPress,broadJump,threeCone,shuttle
6,179,Bo Scaife,TE,24,190.0,249,Texas,0,0,,1,75,997,13.3,5,,,,,,,,4.75,32.5,24,114,7.21,4.12
6,182,Cedric Houston,RB,23,180.0,225,Tennessee,501,2634,5.3,17,39,369,9.5,1,,,,,,,,4.61,,,,,
6,185,Chad Owens,WR,23,170.0,183,Hawaii,9,62,6.9,1,239,3031,12.7,29,,,,,,,,4.62,37.0,,116,6.70,3.94
6,190,Tab Perry,WR,23,190.0,229,UCLA,3,20,6.7,1,84,1547,18.4,6,,,,,,,,4.46,34.0,,116,7.00,
6,198,Joel Dreessen,TE,23,193.0,260,Colorado St.,1,2,2.0,0,123,1295,10.5,10,,,,,,,,4.72,36.0,22,113,7.09,4.01
6,199,Khari Long,DE,23,193.0,257,Baylor,2,18,9.0,1,0,0,,0,,,,,,,,4.74,38.5,27,121,7.22,4.07
6,201,DeAndra Cobb,RB,24,178.0,196,Michigan St.,134,900,6.7,4,15,89,5.9,0,,,,,,,,4.49,34.0,17,118,7.13,4.25
6,213,Derek Anderson,QB,22,198.0,235,Oregon St.,,,,,,,,,768,1515,50.7,11249,7.4,79,57,5.03,29.0,,103,7.67,4.62
7,225,Paris Warren,WR,23,183.0,213,Utah,48,281,5.9,3,156,1885,12.1,16,,,,,,,,4.71,31.5,,,,
7,236,Lionel Gates,RB,23,185.0,233,Louisville,319,1486,4.7,20,40,469,11.7,2,,,,,,,,4.60,36.0,23,121,7.17,4.10
7,244,Noah Herron,RB,23,180.0,224,Northwestern,462,2524,5.5,26,72,781,10.8,2,,,,,,,,4.60,31.0,17,108,6.95,3.97
7,249,Billy Bajema,TE,22,196.0,261,Oklahoma St.,,,,,52,709,13.6,4,,,,,,,,4.74,31.5,16,113,7.05,4.25
7,251,Madison Hedgecock,FB,24,190.0,266,North Carolina,34,130,3.8,2,6,42,7.0,0,,,,,,,,4.87,32.5,29,108,7.41,4.24
1,2,Reggie Bush,RB,21,183.0,200,USC,433,3169,7.3,25,95,1301,13.7,13,,,,,,,,4.37,,,,,
1,3,Vince Young,QB,23,196.0,230,Texas,,,,,,,,,444,718,61.8,6040,8.4,44,28,4.48,,,,,
1,6,Vernon Davis,TE,22,190.0,244,Maryland,2,5,2.5,0,83,1371,16.5,9,,,,,,,,4.38,42.0,33,128,7.00,4.17
1,10,Matt Leinart,QB,23,196.0,225,USC,,,,,,,,,807,1245,64.8,10693,8.6,99,23,4.90,,,,,
1,11,Jay Cutler,QB,23,190.0,225,Vanderbilt,,,,,,,,,710,1242,57.2,8697,7.0,59,36,4.77,,23,,7.10,4.26
1,21,Laurence Maroney,RB,21,180.0,210,Minnesota,660,3933,6.0,32,21,197,9.4,1,,,,,,,,4.48,,,,,
1,25,Santonio Holmes,WR,22,178.0,185,Ohio St.,3,18,6.0,0,140,2295,16.4,25,,,,,,,,4.35,,,,,
1,27,DeAngelo Williams,RB,23,173.0,210,Memphis,969,6026,6.2,55,70,723,10.3,5,,,,,,,,4.45,35.5,25,121,,
1,28,Marcedes Lewis,TE,22,198.0,267,UCLA,,,,,126,1571,12.5,21,,,,,,,,4.80,37.0,23,118,7.24,4.82
1,30,Joseph Addai,RB,23,180.0,210,LSU,490,2576,5.3,18,66,641,9.7,6,,,,,,,,4.40,38.5,18,125,7.09,4.47
2,36,Chad Jackson,WR,21,185.0,205,Florida,17,90,5.3,2,120,1586,13.2,16,,,,,,,,4.32,38.5,,122,6.73,3.97
2,44,Sinorice Moss,WR,22,173.0,185,Miami (FL),9,59,6.6,0,68,1106,16.3,9,,,,,,,,4.38,,,,,
2,45,LenDale White,RB,21,188.0,240,USC,541,3159,5.8,52,31,331,10.7,5,,,,,,,,4.49,,,,,
2,46,Joe Klopfenstein,TE,22,196.0,250,Colorado,,,,,86,1076,12.5,13,,,,,,,,4.63,36.0,27,112,7.39,4.21
2,49,Kellen Clemens,QB,23,188.0,224,Oregon,,,,,,,,,613,1005,61.0,7555,7.5,61,24,4.89,,,,,
2,52,Greg Jennings,WR,22,180.0,195,West. Michigan,18,92,5.1,0,238,3539,14.9,39,,,,,,,,4.42,36.5,,117,6.68,4.16
2,53,Anthony Fasano,TE,22,193.0,255,Notre Dame,,,,,92,1112,12.1,8,,,,,,,,4.72,33.5,19,112,6.94,4.34
2,56,Chris Chester,G,23,190.0,300,Oklahoma,,,,,2,25,12.5,1,,,,,,,,4.83,31.5,27,106,7.31,4.50
2,60,Maurice Jones-Drew,RB,21,173.0,205,UCLA,481,2503,5.2,26,64,819,12.8,7,,,,,,,,4.39,36.0,18,116,7.08,4.38
2,61,Tony Scheffler,TE,23,196.0,255,West. Michigan,,,,,117,1345,11.5,13,,,,,,,,4.54,33.5,17,115,6.81,4.01
2,64,Tarvaris Jackson,QB,23,188.0,226,Alabama St.,,,,,,,,,17,48,35.4,196,4.1,1,3,4.69,31.5,22,107,7.40,4.38
3,66,Eric Winston,T,22,198.0,305,Miami (FL),,,,,2,13,6.5,0,,,,,,,,4.94,29.0,,108,7.47,4.44
3,72,Leonard Pope,TE,22,203.0,264,Georgia,,,,,65,1044,16.1,10,,,,,,,,4.62,37.5,22,118,7.47,4.67
3,74,Brian Calhoun,RB,22,178.0,200,Wisconsin,619,2760,4.5,27,90,909,10.1,4,,,,,,,,4.57,31.5,18,124,7.05,4.20
3,78,Travis Wilson,WR,22,185.0,210,Oklahoma,3,66,22.0,1,105,1315,12.5,17,,,,,,,,4.47,36.5,,120,6.70,3.99
3,79,Jerious Norwood,RB,23,183.0,205,Mississippi St.,573,3222,5.6,15,43,186,4.3,2,,,,,,,,4.40,36.5,15,122,6.81,4.25
3,81,Charlie Whitehurst,QB,24,193.0,220,Clemson,,,,,,,,,817,1368,59.7,9665,7.1,49,46,4.75,33.0,,112,7.00,4.11
3,82,Derek Hagan,WR,21,185.0,205,Arizona St.,,,,,258,3939,15.3,27,,,,,,,,4.45,36.0,,124,,4.07
3,84,Brandon Williams,WR,22,178.0,175,Wisconsin,19,118,6.2,0,202,2924,14.5,10,,,,,,,,4.48,34.5,,115,6.87,4.07
3,85,Brodie Croyle,QB,23,188.0,205,Alabama,,,,,,,,,488,869,56.2,6382,7.3,41,22,4.88,30.5,,104,7.34,4.25
3,86,David Thomas,TE,23,190.0,240,Texas,,,,,98,1367,13.9,15,,,,,,,,4.67,37.5,19,113,7.05,4.34
3,89,Rashad Butler,T,23,196.0,286,Miami (FL),,,,,1,-8,-8.0,0,,,,,,,,5.30,28.0,16,106,7.90,4.55
3,90,Maurice Stovall,WR,21,193.0,215,Notre Dame,2,1,0.5,0,130,2195,16.9,18,,,,,,,,4.57,35.0,,122,6.81,4.14
3,93,Dominique Byrd,TE,22,188.0,255,USC,1,1,1.0,0,81,968,12.0,4,,,,,,,,4.79,,,,,
3,95,Willie Reid,WR,23,178.0,190,Florida St.,63,309,4.9,3,91,1046,11.5,3,,,,,,,,4.34,37.5,,117,7.06,4.26
4,98,Owen Daniels,TE,23,190.0,245,Wisconsin,4,18,4.5,0,62,852,13.7,8,,,,,,,,4.65,34.5,23,114,6.87,4.10
4,100,Michael Robinson,WR,23,185.0,225,Penn St.,,,,,,,,,248,505,49.1,3531,7.0,23,21,4.57,,,,,
4,103,Brad Smith,QB,22,188.0,210,Missouri,,,,,,,,,818,1454,56.3,8644,5.9,56,32,4.46,39.5,,128,7.00,4.33
4,106,Garrett Mills,FB,22,185.0,230,Tulsa,,,,,201,2389,11.9,23,,,,,,,,4.64,35.5,23,111,6.81,4.05
4,109,Jason Avant,WR,23,183.0,210,Michigan,,,,,169,2247,13.3,13,,,,,,,,4.62,37.0,20,118,,
4,111,Demetrius Williams,WR,23,185.0,190,Oregon,12,76,6.3,1,162,2660,16.4,20,,,,,,,,4.52,38.0,,127,6.84,4.08
4,117,Leon Washington,RB,24,173.0,210,Florida St.,369,2041,5.5,12,55,481,8.7,1,,,,,,,,4.42,32.5,17,105,6.94,4.37
4,119,Brandon Marshall,WR,22,196.0,232,Central Florida,3,5,1.7,0,112,1674,14.9,13,,,,,,,,4.52,37.0,,120,,
4,125,Skyler Green,WR,21,175.0,195,LSU,31,258,8.3,1,111,1129,10.2,9,,,,,,,,4.53,34.0,,118,,
4,129,Guy Whimper,DE,23,196.0,278,East Carolina,0,0,,0,7,125,17.9,0,,,,,,,,4.96,29.0,26,102,7.38,4.59
5,144,Marques Hagans,WR,23,178.0,202,Virginia,,,,,,,,,408,655,62.3,4877,7.4,27,18,4.67,35.0,,114,7.03,4.38
5,145,Jerome Harrison,RB,23,175.0,195,Washington St.,482,2800,5.8,25,34,275,8.1,1,,,,,,,,4.47,34.5,19,124,6.77,4.07
5,150,Jason Pociask,TE,23,190.0,266,Wisconsin,,,,,12,144,12.0,0,,,,,,,,4.84,32.5,23,115,7.31,4.30
5,155,Jeff King,TE,23,196.0,250,Virginia Tech,,,,,58,724,12.5,12,,,,,,,,4.83,32.5,21,109,6.99,4.09
5,163,David Kirtman,RB,23,183.0,232,USC,21,94,4.5,1,46,470,10.2,2,,,,,,,,4.76,29.5,,106,7.18,4.31
5,166,Quinn Sypniewski,TE,24,198.0,265,Colorado,,,,,44,563,12.8,5,,,,,,,,4.77,32.5,20,114,7.09,4.52
6,170,Wali Lundy,RB,22,178.0,215,Virginia,742,3193,4.3,43,114,895,7.9,9,,,,,,,,4.48,35.0,18,111,6.99,4.36
6,171,Mike Hass,WR,23,185.0,210,Oregon St.,2,18,9.0,0,220,3924,17.8,20,,,,,,,,4.59,32.0,,116,6.97,4.14
6,180,Lawrence Vickers,FB,23,183.0,240,Colorado,171,635,3.7,12,70,572,8.2,3,,,,,,,,4.82,30.5,21,104,7.74,4.63
6,190,Jeff Webb,WR,24,188.0,200,San Diego St.,2,16,8.0,0,234,2890,12.4,20,,,,,,,,4.40,37.0,,126,6.81,4.08
6,193,Reggie McNeal,QB,22,188.0,200,Texas A&M,,,,,,,,,478,875,54.6,6992,8.0,44,23,4.40,32.0,,121,6.96,4.25
6,194,Bruce Gradkowski,QB,23,185.0,220,Toledo,,,,,,,,,766,1123,68.2,9225,8.2,85,27,4.59,34.0,,107,7.12,4.16
7,218,Todd Watkins,WR,23,190.0,185,BYU,1,-4,-4.0,0,101,1720,17.0,15,,,,,,,,4.40,36.0,15,118,7.13,4.24
7,233,Devin Aromashodu,WR,22,188.0,202,Auburn,1,6,6.0,0,71,1333,18.8,9,,,,,,,,4.35,39.0,,120,7.04,4.16
7,244,Tim Massaquoi,TE,24,188.0,253,Michigan,,,,,46,489,10.6,2,,,,,,,,4.85,,32,,,
7,246,Quinton Ganther,RB,22,178.0,215,Utah,314,1774,5.6,9,32,363,11.3,2,,,,,,,,4.50,35.0,29,119,7.19,
7,249,Ben Obomanu,WR,22,183.0,203,Auburn,8,154,19.3,2,97,1313,13.5,18,,,,,,,,4.45,38.0,,116,7.17,4.21
7,251,David Anderson,WR,23,178.0,195,Colorado St.,4,18,4.5,0,223,3634,16.3,20,,,,,,,,4.57,34.0,,116,6.88,4.20
1,1,JaMarcus Russell,QB,22,198.0,265,LSU,,,,,,,,,493,797,61.9,6625,8.3,52,21,4.83,,,,,
1,2,Calvin Johnson,WR,21,196.0,237,Georgia Tech,10,40,4.0,1,178,2927,16.4,28,,,,,,,,4.35,,,,,
1,7,Adrian Peterson,RB,22,185.0,220,Oklahoma,748,4041,5.4,41,24,198,8.3,1,,,,,,,,4.40,38.5,,127,7.09,4.40
1,9,Ted Ginn,WR,22,180.0,180,Ohio St.,28,213,7.6,3,135,1943,14.4,15,,,,,,,,4.38,,,,,
1,12,Marshawn Lynch,RB,21,180.0,215,California,490,3230,6.6,29,68,600,8.8,6,,,,,,,,4.46,35.5,20,125,7.05,4.55
1,22,Brady Quinn,QB,22,193.0,232,Notre Dame,,,,,,,,,929,1602,58.0,11762,7.3,95,39,4.73,,24,,,
1,23,Dwayne Bowe,WR,22,188.0,221,LSU,1,2,2.0,0,154,2403,15.6,26,,,,,,,,4.51,33.0,,125,6.81,4.35
1,27,Robert Meachem,WR,22,188.0,214,Tennessee,7,3,0.4,0,125,2140,17.1,17,,,,,,,,4.39,37.5,,121,6.97,4.31
1,28,Joe Staley,T,23,196.0,315,Central Michigan,0,0,,0,12,127,10.6,1,,,,,,,,4.79,,27,,,
1,31,Greg Olsen,TE,22,196.0,255,Miami (FL),,,,,87,1215,14.0,6,,,,,,,,4.51,35.5,23,114,7.04,4.48
1,32,Anthony Gonzalez,WR,22,183.0,193,Ohio St.,3,36,12.0,0,87,1286,14.8,13,,,,,,,,4.44,38.0,,123,6.54,4.08
2,36,Kevin Kolb,QB,23,190.0,218,Houston,,,,,,,,,964,1565,61.6,12964,8.3,85,31,4.85,32.5,,112,6.94,4.44
2,38,Zach Miller,TE,21,196.0,256,Arizona St.,,,,,144,1512,10.5,14,,,,,,,,4.87,34.0,,115,7.01,4.42
2,40,John Beck,QB,26,188.0,215,BYU,,,,,,,,,885,1418,62.4,11021,7.8,79,34,4.75,29.5,,111,6.81,4.17
2,43,Drew Stanton,QB,23,190.0,226,Michigan St.,,,,,,,,,543,846,64.2,6524,7.7,42,28,4.75,30.5,,108,6.77,4.41
2,44,Sidney Rice,WR,21,193.0,200,South Carolina,1,6,6.0,0,142,2233,15.7,23,,,,,,,,4.51,39.5,,119,7.09,4.34
2,45,Dwayne Jarrett,WR,20,193.0,219,USC,3,1,0.3,0,216,3138,14.5,41,,,,,,,,4.62,,,,,
2,50,Chris Henry,RB,22,188.0,230,Arizona,269,892,3.3,9,26,205,7.9,1,,,,,,,,4.40,36.0,26,127,6.96,4.14
2,51,Steve Smith,WR,22,183.0,195,USC,4,18,4.5,0,190,3019,15.9,22,,,,,,,,4.44,38.0,,120,6.68,4.19
2,52,Brian Leonard,RB,23,188.0,226,Rutgers,678,2775,4.1,32,207,1868,9.0,13,,,,,,,,4.52,34.5,28,122,6.88,4.22
2,63,Brandon Jackson,RB,21,180.0,210,Nebraska,291,1431,4.9,14,34,318,9.4,2,,,,,,,,4.54,37.0,21,122,7.00,4.14
3,71,Lorenzo Booker,RB,23,180.0,191,Florida St.,497,2389,4.8,15,114,995,8.7,2,,,,,,,,4.46,35.5,26,121,,
3,74,Yamon Figurs,WR,24,183.0,174,Kansas St.,5,79,15.8,2,73,1144,15.7,6,,,,,,,,4.30,,,123,6.85,4.21
3,76,Jason Hill,WR,22,185.0,204,Washington St.,3,-10,-3.3,0,148,2704,18.3,32,,,,,,,,4.32,37.0,,123,7.02,4.22
3,77,Matt Spaeth,TE,23,201.0,270,Minnesota,,,,,109,1293,11.9,12,,,,,,,,4.83,,,,,
3,78,James Jones,WR,23,185.0,208,San Jose St.,24,126,5.3,1,126,1496,11.9,12,,,,,,,,4.54,34.0,22,119,7.06,4.20
3,79,Mike Sims-Walker,WR,22,188.0,197,Central Florida,1,7,7.0,0,184,2561,13.9,17,,,,,,,,4.35,36.5,18,121,6.92,4.39
3,80,Paul Williams,WR,23,185.0,205,Fresno St.,16,174,10.9,1,72,1048,14.6,8,,,,,,,,4.45,38.5,,125,7.03,4.24
3,90,Tony Hunt,RB,21,188.0,233,Penn St.,654,3320,5.1,25,88,799,9.1,3,,,,,,,,4.68,,24,,,
3,92,Trent Edwards,QB,23,193.0,231,Stanford,,,,,,,,,487,865,56.3,5429,6.3,36,33,4.76,,19,,7.14,4.46
3,93,Garrett Wolfe,RB,23,170.0,171,Northern Illinois,807,5164,6.4,52,58,588,10.1,5,,,,,,,,4.39,35.5,22,116,6.69,4.08
4,100,Michael Bush,RB,23,188.0,243,Louisville,435,2508,5.8,39,50,651,13.0,2,,,,,,,,4.62,,,,,
4,103,Isaiah Stanback,QB,23,190.0,216,Washington,,,,,,,,,269,523,51.4,3868,7.4,22,12,4.60,,22,,,
4,107,Antonio Pittman,RB,21,180.0,207,Ohio St.,557,2945,5.3,22,37,314,8.5,0,,,,,,,,4.40,35.5,16,123,6.84,4.16
4,111,Dwayne Wright,RB,24,183.0,227,Fresno St.,501,2683,5.4,16,51,429,8.4,2,,,,,,,,4.66,34.0,14,115,7.23,4.43
4,118,Ryne Robinson,WR,22,175.0,179,Miami (OH),25,122,4.9,0,258,3697,14.3,22,,,,,,,,4.47,35.0,,123,6.71,4.21
4,128,Chris Davis,WR,23,178.0,181,Florida St.,22,70,3.2,1,137,1842,13.4,12,,,,,,,,4.50,35.5,,115,6.66,4.14
4,129,Scott Chandler,TE,22,201.0,270,Iowa,,,,,117,1467,12.5,10,,,,,,,,4.78,30.0,16,111,7.26,4.32
4,133,Martrez Milner,TE,23,193.0,256,Georgia,,,,,49,808,16.5,5,,,,,,,,4.79,34.0,19,117,7.35,4.49
4,137,Le'Ron McClain,RB,22,183.0,260,Alabama,37,170,4.6,2,48,405,8.4,8,,,,,,,,4.75,29.5,14,113,7.14,4.47
5,142,Steve Breaston,WR,24,185.0,175,Michigan,42,321,7.6,2,156,1696,10.9,10,,,,,,,,4.46,33.0,,124,6.90,4.29
5,146,Aundrae Allison,WR,21,183.0,198,East Carolina,12,55,4.6,0,145,1732,11.9,11,,,,,,,,4.39,37.0,,127,,
5,148,Kolby Smith,RB,22,180.0,214,Louisville,316,1863,5.9,18,56,581,10.4,2,,,,,,,,4.50,38.0,18,114,7.22,4.34
5,155,Dante Rosario,TE,22,190.0,244,Oregon,27,84,3.1,2,94,1003,10.7,11,,,,,,,,4.78,36.0,20,115,6.96,4.47
5,157,David Clowney,WR,22,185.0,190,Virginia Tech,2,-25,-12.5,0,93,1373,14.8,6,,,,,,,,4.36,32.5,,123,7.00,4.15
5,167,Kevin Payne,DB,23,183.0,215,La-Monroe,325,1234,3.8,8,54,607,11.2,4,,,,,,,,4.60,35.0,20,106,7.00,4.30
5,172,Legedu Naanee,WR,23,188.0,225,Boise St.,18,198,11.0,0,74,1073,14.5,12,,,,,,,,4.41,40.0,19,119,,
5,174,Troy Smith,QB,23,183.0,225,Ohio St.,,,,,,,,,420,670,62.7,5720,8.5,54,13,4.72,,,,,
6,195,Deon Anderson,FB,24,178.0,248,Connecticut,114,420,3.7,1,48,394,8.2,3,,,,,,,,4.73,33.0,23,114,7.27,4.43
6,197,Courtney Taylor,WR,23,190.0,204,Auburn,13,137,10.5,0,153,2098,13.7,9,,,,,,,,4.50,36.0,,122,7.22,4.28
6,205,Jordan Palmer,QB,23,196.0,232,Texas-El Paso,,,,,,,,,851,1427,59.6,11084,7.8,88,64,4.98,30.5,,104,7.32,4.58
6,210,Jordan Kent,WR,23,193.0,219,Oregon,1,22,22.0,0,47,605,12.9,5,,,,,,,,4.49,,,,,
7,215,Ben Patrick,TE,23,190.0,252,Delaware,,,,,79,781,9.9,2,,,,,,,,4.74,34.5,,111,7.21,4.31
7,222,Derek Schouman,TE,22,188.0,247,Boise St.,,,,,78,1009,12.9,11,,,,,,,,4.74,37.5,27,122,7.00,4.27
7,227,Dallas Baker,WR,24,190.0,206,Florida,,,,,151,2236,14.8,21,,,,,,,,4.53,36.0,,129,6.69,4.19
7,228,DeShawn Wynn,RB,23,180.0,232,Florida,446,2077,4.7,25,35,376,10.7,3,,,,,,,,4.47,31.5,,115,,
7,234,Syndric Steptoe,WR,22,173.0,190,Arizona,19,140,7.4,0,131,1584,12.1,6,,,,,,,,4.59,33.0,17,,,
7,235,Chansi Stuckey,WR,23,178.0,182,Clemson,48,261,5.4,2,141,1760,12.5,7,,,,,,,,4.56,35.0,,120,6.91,4.14
7,243,Clark Harris,TE,23,196.0,250,Rutgers,,,,,143,2015,14.1,11,,,,,,,,4.80,32.0,21,112,,4.40
7,244,Jason Snelling,RB,23,180.0,235,Virginia,276,1324,4.8,10,84,775,9.2,4,,,,,,,,4.79,30.0,,111,7.06,4.37
7,246,Kenneth Darby,RB,24,178.0,214,Alabama,702,3324,4.7,11,70,340,4.9,2,,,,,,,,4.75,30.0,19,108,7.25,4.53
7,250,Ahmad Bradshaw,RB,21,180.0,195,Marshall,558,2982,5.3,31,87,697,8.0,5,,,,,,,,4.55,34.0,,112,6.70,4.09
7,254,Jonathan Holland,WR,22,183.0,191,Louisiana Tech,11,112,10.2,2,85,1426,16.8,6,,,,,,,,4.45,35.5,15,120,7.12,4.40
1,3,Matt Ryan,QB,23,193.0,217,Boston Col.,,,,,,,,,807,1347,59.9,9313,6.9,56,37,4.89,,,,7.40,4.51
1,4,Darren McFadden,RB,21,188.0,210,Arkansas,785,4590,5.8,41,46,365,7.9,2,,,,,,,,4.33,33.0,,128,,
1,13,Jonathan Stewart,RB,21,178.0,240,Oregon,516,2891,5.6,27,49,334,6.8,4,,,,,,,,4.46,36.5,28,128,,
1,15,Branden Albert,G,23,196.0,314,Virginia,1,2,2.0,0,,,,,,,,,,,,5.17,26.0,23,111,7.97,4.78
1,18,Joe Flacco,QB,23,198.0,245,Delaware,6,0,0.0,0,,,,,,,,,,,,4.84,28.5,,110,6.82,4.27
1,22,Felix Jones,RB,21,183.0,200,Arkansas,386,2956,7.7,20,39,383,9.8,3,,,,,,,,4.44,33.5,,124,6.90,4.19
1,23,Rashard Mendenhall,RB,21,180.0,210,Illinois,388,2539,6.5,22,59,564,9.6,5,,,,,,,,4.41,33.5,26,117,,4.18
1,24,Chris Johnson,RB,22,180.0,195,East Carolina,624,2982,4.8,32,125,1296,10.4,10,,,,,,,,4.24,35.0,,130,,
1,30,Dustin Keller,TE,23,188.0,248,Purdue,0,0,,1,142,1882,13.3,16,,,,,,,,4.53,38.0,26,131,6.88,4.14
2,33,Donnie Avery,WR,24,180.0,186,Houston,,,,,210,3289,15.7,19,,,,,,,,4.43,,16,,,
2,34,Devin Thomas,WR,21,188.0,215,Michigan St.,27,177,6.6,0,85,1350,15.9,9,,,,,,,,4.41,28.0,,126,7.15,4.26
2,36,Jordy Nelson,WR,23,190.0,217,Kansas St.,4,-9,-2.3,0,206,2822,13.7,20,,,,,,,,4.51,31.0,,123,7.03,4.35
2,38,John Carlson,TE,24,196.0,256,Notre Dame,,,,,100,1093,10.9,8,,,,,,,,4.88,30.5,20,113,7.12,4.28
2,41,James Hardy,WR,22,198.0,220,Indiana,,,,,191,2740,14.3,36,,,,,,,,4.45,31.5,18,125,6.84,4.20
2,42,Eddie Royal,WR,22,178.0,182,Virginia Tech,24,226,9.4,2,119,1778,14.9,12,,,,,,,,4.39,36.0,24,124,7.07,4.34
2,44,Matt Forte,RB,22,185.0,221,Tulane,833,4265,5.1,39,103,985,9.6,5,,,,,,,,4.44,33.0,23,118,6.84,4.23
2,48,Fred Davis,TE,22,190.0,250,USC,,,,,117,1408,12.0,13,,,,,,,,4.68,,24,,,
2,49,DeSean Jackson,WR,21,178.0,175,California,24,199,8.3,1,162,2423,15.0,22,,,,,,,,4.35,,,120,,
2,51,Malcolm Kelly,WR,21,193.0,218,Oklahoma,,,,,144,2285,15.9,21,,,,,,,,4.68,,,,,
2,53,Limas Sweed,WR,23,196.0,220,Texas,1,4,4.0,0,124,1915,15.4,20,,,,,,,,4.48,35.0,,,,
2,55,Ray Rice,RB,21,175.0,195,Rutgers,910,4926,5.4,49,37,334,9.0,1,,,,,,,,4.42,31.5,23,119,6.65,4.20
2,56,Brian Brohm,QB,22,190.0,227,Louisville,,,,,,,,,780,1185,65.8,10775,9.1,71,24,4.81,30.0,,115,7.13,4.55
2,57,Chad Henne,QB,23,190.0,222,Michigan,,,,,,,,,828,1387,59.7,9715,7.0,87,37,4.92,25.5,,106,7.17,4.40
2,61,Martellus Bennett,TE,21,198.0,275,Texas A&M,,,,,105,1246,11.9,10,,,,,,,,4.68,34.0,18,118,7.64,4.53
3,64,Kevin Smith,RB,21,183.0,210,Central Florida,905,4679,5.2,45,55,444,8.1,1,,,,,,,,4.53,32.0,,120,6.74,4.49
3,69,Jacob Hester,FB,23,180.0,230,LSU,364,1780,4.9,20,62,459,7.4,4,,,,,,,,4.61,27.5,23,111,6.85,4.24
3,70,Earl Bennett,WR,21,185.0,205,Vanderbilt,20,44,2.2,0,236,2852,12.1,20,,,,,,,,4.48,26.0,15,110,7.15,4.22
3,73,Jamaal Charles,RB,21,180.0,199,Texas,533,3328,6.2,36,49,539,11.0,3,,,,,,,,4.38,30.5,,122,6.80,4.22
3,76,Brad Cottam,TE,23,203.0,271,Tennessee,0,0,,0,21,341,16.2,1,,,,,,,,4.63,33.0,24,,,
3,81,Early Doucet,WR,22,183.0,211,LSU,12,61,5.1,2,160,1943,12.1,20,,,,,,,,4.59,,,,,
3,83,Jeremy Zuttah,G,22,193.0,303,Rutgers,1,13,13.0,0,,,,,,,,,,,,4.99,26.5,35,107,7.59,4.54
3,84,Harry Douglas,WR,23,183.0,183,Louisville,19,162,8.5,1,173,2924,16.9,15,,,,,,,,4.51,31.0,,120,6.57,4.12
3,85,Craig Stevens,TE,24,190.0,255,California,,,,,51,669,13.1,7,,,,,,,,4.59,27.5,27,114,7.07,4.31
3,89,Steve Slaton,RB,22,178.0,195,West Virginia,664,3923,5.9,50,65,805,12.4,5,,,,,,,,4.45,33.5,19,118,,
3,91,Jermichael Finley,TE,21,193.0,240,Texas,0,0,,1,76,947,12.5,5,,,,,,,,4.82,27.5,20,117,7.15,4.38
3,94,Kevin O'Connell,QB,23,196.0,225,San Diego St.,,,,,,,,,664,1151,57.7,7689,6.7,46,34,4.61,31.0,,113,7.01,4.38
3,95,Mario Manningham,WR,22,183.0,185,Michigan,31,176,5.7,0,137,2310,16.9,27,,,,,,,,4.59,32.0,16,117,7.34,4.27
3,97,Andre Caldwell,WR,23,185.0,207,Florida,41,293,7.1,4,185,2349,12.7,16,,,,,,,,4.35,33.0,,124,6.75,4.11
3,99,Oniel Cousins,G,24,193.0,315,Texas-El Paso,,,,,1,-2,-2.0,0,,,,,,,,5.11,24.5,23,107,7.90,4.80
4,105,Will Franklin,WR,22,183.0,200,Missouri,9,11,1.2,0,143,2125,14.9,13,,,,,,,,4.37,34.5,,,,
4,106,Marcus Smith,WR,23,185.0,214,New Mexico,54,323,6.0,5,153,2073,13.5,13,,,,,,,,4.51,26.5,20,111,7.10,4.42
4,111,Martin Rucker,TE,23,196.0,238,Missouri,16,56,3.5,0,203,2175,10.7,18,,,,,,,,4.75,,20,,,
4,122,Tashard Choice,RB,23,175.0,210,Georgia Tech,697,3465,5.0,28,41,288,7.0,0,,,,,,,,4.48,34.0,20,119,6.88,
4,126,Lavelle Hawkins,WR,22,180.0,187,California,13,127,9.8,0,136,1748,12.9,12,,,,,,,,4.57,,14,117,,
4,127,Jacob Tamme,TE,23,193.0,234,Kentucky,,,,,133,1417,10.7,11,,,,,,,,4.58,30.0,18,109,6.99,4.27
4,128,Keenan Burton,WR,23,183.0,202,Kentucky,8,18,2.3,0,189,2376,12.6,25,,,,,,,,4.44,38.5,10,125,6.77,4.20
4,132,Derek Fine,TE,25,188.0,250,Kansas,,,,,98,1009,10.3,10,,,,,,,,4.83,29.0,24,115,6.80,4.19
5,136,Kenny Moore,WR,23,180.0,199,Wake Forest,151,829,5.5,5,139,1458,10.5,7,,,,,,,,4.47,28.0,,120,7.09,4.30
5,139,Ryan Torain,RB,22,183.0,213,Arizona St.,333,1782,5.4,12,25,305,12.2,5,,,,,,,,4.61,34.0,21,120,,
5,141,Gary Barnidge,TE,22,198.0,250,Louisville,,,,,108,1491,13.8,17,,,,,,,,4.61,31.0,22,117,6.92,4.23
5,150,Breno Giacomini,T,22,201.0,320,Louisville,0,0,,0,4,19,4.8,1,,,,,,,,5.20,22.5,23,108,7.56,4.63
